Title,Author,Average Ratings,Total Ratings
The Screwtape Letters,C.S. Lewis, 4.23 avg rating,"318,983 ratings"
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom, 4.43 avg rating,"247,183 ratings"
The God of Small Things,Arundhati Roy, 3.94 avg rating,"235,198 ratings"
The Wind in the Willows,Kenneth Grahame, 3.99 avg rating,"172,601 ratings"
Animal Farm,George Orwell, 3.94 avg rating,"2,632,759 ratings"
A Light in the Attic,Shel Silverstein, 4.35 avg rating,"364,831 ratings"
"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater, 3.77 avg rating,"420,936 ratings"
"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris, 4.19 avg rating,"448,673 ratings"
"Uglies (Uglies, #1)",Scott Westerfeld, 3.86 avg rating,"547,269 ratings"
She's Come Undone,Wally Lamb, 3.88 avg rating,"311,571 ratings"
Man's Search for Meaning,Viktor E. Frankl, 4.36 avg rating,"365,124 ratings"
"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare, 4.13 avg rating,"462,940 ratings"
Marley and Me: Life and Love With the World's Worst Dog,John Grogan, 4.14 avg rating,"434,897 ratings"
The Wind-Up Bird Chronicle,Haruki Murakami, 4.16 avg rating,"209,848 ratings"
Ella Enchanted (Ella Enchanted #1),Gail Carson Levine, 3.98 avg rating,"377,310 ratings"
The Phantom of the Opera,Gaston Leroux, 3.97 avg rating,"192,782 ratings"
The Sound and the Fury,William Faulkner, 3.86 avg rating,"155,885 ratings"
The Shack,William Paul Young, 3.77 avg rating,"524,421 ratings"
"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin, 4.41 avg rating,"768,136 ratings"
Blindness,José Saramago, 4.13 avg rating,"190,409 ratings"
The Green Mile,Stephen King, 4.45 avg rating,"241,110 ratings"
"Marked (House of Night, #1)",P.C. Cast, 3.80 avg rating,"419,793 ratings"
Fear and Loathing in Las Vegas,Hunter S. Thompson, 4.08 avg rating,"292,397 ratings"
"Cinder (The Lunar Chronicles, #1)",Marissa Meyer, 4.14 avg rating,"651,084 ratings"
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer, 4.17 avg rating,"590,024 ratings"
For Whom the Bell Tolls,Ernest Hemingway, 3.97 avg rating,"244,485 ratings"
The Complete Calvin and Hobbes,Bill Watterson, 4.82 avg rating,"34,366 ratings"
The House of the Spirits,Isabel Allende, 4.23 avg rating,"182,114 ratings"
Roots: The Saga of an American Family,Alex Haley, 4.44 avg rating,"142,001 ratings"
Island of the Blue Dolphins,Scott O'Dell, 3.84 avg rating,"281,933 ratings"
Stranger in a Strange Land,Robert A. Heinlein, 3.92 avg rating,"269,575 ratings"
Misery,Stephen King, 4.16 avg rating,"477,117 ratings"
"Howl's Moving Castle (Howl's Moving Castle, #1)",Diana Wynne Jones, 4.28 avg rating,"200,550 ratings"
Midnight Sun [2008 Draft],Stephenie Meyer, 4.02 avg rating,"143,952 ratings"
White Oleander,Janet Fitch, 3.97 avg rating,"317,931 ratings"
"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",Stieg Larsson, 4.22 avg rating,"629,789 ratings"
"Beautiful Disaster (Beautiful, #1)",Jamie McGuire, 4.11 avg rating,"533,011 ratings"
Flow Down Like Silver: Hypatia of Alexandria,Ki Longfellow, 4.43 avg rating,"2,219 ratings"
"Delirium (Delirium, #1)",Lauren Oliver, 3.97 avg rating,"410,087 ratings"
Othello,William Shakespeare, 3.89 avg rating,"306,390 ratings"
Speak,Laurie Halse Anderson, 4.02 avg rating,"476,900 ratings"
Paper Towns,John Green, 3.81 avg rating,"880,350 ratings"
The Idiot,Fyodor Dostoyevsky, 4.18 avg rating,"125,551 ratings"
"The Vampire Lestat (The Vampire Chronicles, #2)",Anne Rice, 4.07 avg rating,"171,263 ratings"
"The Once and Future King (The Once and Future King, #1-4)",T.H. White, 4.07 avg rating,"94,620 ratings"
I Know This Much Is True,Wally Lamb, 4.19 avg rating,"285,639 ratings"
The Secret History,Donna Tartt, 4.10 avg rating,"289,631 ratings"
King Lear,William Shakespeare, 3.91 avg rating,"174,953 ratings"
"Neverwhere (London Below, #1)",Neil Gaiman, 4.17 avg rating,"414,573 ratings"
Into the Wild,Jon Krakauer, 3.98 avg rating,"853,760 ratings"
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore, 4.25 avg rating,"147,906 ratings"
Uncle Tom's Cabin,Harriet Beecher Stowe, 3.87 avg rating,"191,193 ratings"
"Inkheart (Inkworld, #1)",Cornelia Funke, 3.89 avg rating,"356,401 ratings"
The Diary of a Young Girl,Anne Frank, 4.14 avg rating,"2,643,012 ratings"
The Historian,Elizabeth Kostova, 3.78 avg rating,"236,804 ratings"
James and the Giant Peach,Roald Dahl, 4.02 avg rating,"364,990 ratings"
Invisible Man,Ralph Ellison, 3.87 avg rating,"152,494 ratings"
The Complete Sherlock Holmes,Arthur Conan Doyle, 4.50 avg rating,"165,670 ratings"
Candide,Voltaire, 3.77 avg rating,"214,190 ratings"
"Graceling (Graceling Realm, #1)",Kristin Cashore, 4.08 avg rating,"372,140 ratings"
"All Creatures Great and Small (All Creatures Great and Small, #1)",James Herriot, 4.32 avg rating,"110,843 ratings"
Leaves of Grass,Walt Whitman, 4.12 avg rating,"87,637 ratings"
Paradise Lost,John Milton, 3.82 avg rating,"129,559 ratings"
Gone Girl,Gillian Flynn, 4.07 avg rating,"2,247,234 ratings"
The Thirteenth Tale,Diane Setterfield, 3.96 avg rating,"267,030 ratings"
Different Seasons,Stephen King, 4.35 avg rating,"169,388 ratings"
The Cider House Rules,John Irving, 4.13 avg rating,"158,225 ratings"
The Things They Carried,Tim O'Brien, 4.13 avg rating,"244,502 ratings"
The Time Machine,H.G. Wells, 3.89 avg rating,"397,650 ratings"
"Foundation (Foundation, #1)",Isaac Asimov, 4.17 avg rating,"392,979 ratings"
The Complete Works,William Shakespeare, 4.50 avg rating,"49,951 ratings"
